epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5759.34,1.0035,0.57762,0.00739,0.94572,0.90957,0.96467,0.76666,0.88041,0.55681,0.00904,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5938.63,0.99412,0.56414,0.00743,0.96078,0.90206,0.96451,0.7725,0.87201,0.5293,0.00877,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6116.67,0.98691,0.55786,0.00726,0.9335,0.91657,0.9643,0.77646,0.86016,0.57197,0.00872,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,6294.71,0.9864,0.55064,0.00727,0.94157,0.9182,0.96504,0.77534,0.86061,0.55498,0.00854,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,6472.76,0.98396,0.55022,0.00725,0.95097,0.90979,0.96491,0.77494,0.85151,0.55824,0.00859,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,6650.77,0.98141,0.55157,0.00722,0.95847,0.90882,0.9679,0.78188,0.84402,0.52822,0.00843,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,6828.37,0.97012,0.54169,0.00718,0.96588,0.91107,0.96729,0.78085,0.84644,0.54459,0.00839,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7006.29,0.97381,0.54146,0.00719,0.97009,0.92495,0.97339,0.78303,0.85078,0.5661,0.00855,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,7184.38,0.96362,0.53698,0.00715,0.95801,0.9245,0.96687,0.78548,0.84902,0.50106,0.00841,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,7362.58,0.95795,0.52776,0.00695,0.95458,0.93058,0.9662,0.78448,0.83477,0.53305,0.0085,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,7541.42,0.95924,0.53267,0.00703,0.95852,0.92788,0.97043,0.7904,0.8335,0.50693,0.00826,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,7720.79,0.958,0.52085,0.007,0.97813,0.92292,0.97298,0.79133,0.82932,0.48096,0.00829,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,7899.63,0.95024,0.52564,0.00704,0.97202,0.91557,0.97066,0.79129,0.84307,0.58373,0.00835,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,8078.6,0.95262,0.52445,0.007,0.97144,0.91897,0.97249,0.78848,0.82055,0.51507,0.00812,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,8257.7,0.94089,0.51034,0.00693,0.96465,0.93208,0.97261,0.8002,0.81675,0.45945,0.00823,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,8437.01,0.93268,0.51025,0.00681,0.9668,0.92882,0.97139,0.79818,0.7994,0.50046,0.00787,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8616.14,0.9316,0.5112,0.00685,0.97089,0.92495,0.97122,0.79614,0.79742,0.48785,0.00802,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,8795.06,0.93487,0.50938,0.00689,0.97735,0.92274,0.97145,0.79461,0.80704,0.51195,0.00814,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,8973.84,0.93569,0.5052,0.00684,0.97851,0.9225,0.9714,0.79751,0.81257,0.50935,0.00804,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,9152.34,0.9203,0.49931,0.00675,0.96991,0.9272,0.97124,0.79543,0.79758,0.49499,0.00792,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,9331.34,0.92793,0.49839,0.00676,0.97239,0.92233,0.97074,0.79607,0.79962,0.48036,0.00796,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,9510.66,0.92492,0.50593,0.00673,0.96786,0.93096,0.96979,0.79569,0.79427,0.55595,0.00794,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,9690.02,0.9176,0.50297,0.00671,0.96154,0.9212,0.97053,0.79077,0.80719,0.59232,0.0079,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,9869.11,0.91971,0.49955,0.00671,0.96241,0.92795,0.97202,0.79544,0.79253,0.52099,0.00794,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,10048.3,0.92004,0.49795,0.00673,0.96006,0.93846,0.97348,0.79702,0.78914,0.50041,0.008,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,10227.5,0.91672,0.49773,0.00663,0.97449,0.92608,0.97247,0.79621,0.79451,0.4837,0.00793,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,10406.6,0.92201,0.49294,0.00673,0.95838,0.93621,0.9731,0.79939,0.8017,0.48272,0.00796,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,10585.8,0.91289,0.49031,0.0066,0.96717,0.9257,0.97252,0.80075,0.80482,0.46283,0.008,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,10765.1,0.90856,0.48576,0.00662,0.96178,0.93208,0.97231,0.80049,0.80277,0.47165,0.00796,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,10943.9,0.91021,0.48873,0.0066,0.96849,0.93246,0.97194,0.80269,0.80396,0.48622,0.00794,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,11123.1,0.90318,0.48286,0.00656,0.96512,0.93447,0.97315,0.80404,0.78721,0.48366,0.00779,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,11302.4,0.90471,0.47642,0.00656,0.96948,0.92987,0.97281,0.80277,0.78859,0.49761,0.00787,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,11481.9,0.901,0.4787,0.00657,0.96114,0.93696,0.97474,0.80248,0.78422,0.48166,0.00785,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,11660.8,0.8916,0.48475,0.00647,0.9624,0.93921,0.97462,0.80355,0.77904,0.47353,0.00786,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,11839.6,0.89427,0.47536,0.00648,0.95242,0.94642,0.97376,0.80784,0.77359,0.49827,0.00771,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,12018.6,0.89985,0.48153,0.00658,0.95256,0.93959,0.97294,0.80476,0.77773,0.50482,0.00772,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,12197.6,0.89166,0.48025,0.00647,0.95707,0.92908,0.97261,0.80495,0.78178,0.48461,0.00779,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,12376.4,0.89083,0.46723,0.00646,0.95532,0.9388,0.97381,0.80626,0.77903,0.49569,0.00778,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,12555.2,0.88323,0.47426,0.00641,0.97872,0.91483,0.97394,0.80527,0.78147,0.50447,0.00783,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,12733.9,0.88801,0.46972,0.00646,0.9578,0.93583,0.97284,0.80517,0.77948,0.49783,0.00775,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,12913.2,0.87974,0.46351,0.00637,0.94791,0.94225,0.9723,0.80607,0.77811,0.4988,0.00762,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,13092.5,0.88406,0.46776,0.00639,0.94959,0.94447,0.97196,0.80583,0.77105,0.4942,0.00758,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,13271.6,0.87564,0.46795,0.00639,0.9731,0.92683,0.97353,0.80782,0.76991,0.48659,0.00758,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,13450.7,0.87961,0.46063,0.00639,0.97113,0.92908,0.97333,0.80817,0.7714,0.47912,0.00769,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,13629.9,0.87938,0.45753,0.00638,0.9673,0.9325,0.97413,0.80742,0.77551,0.46885,0.00773,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,13809.2,0.87004,0.45784,0.00625,0.95389,0.94334,0.9743,0.808,0.76798,0.47639,0.00757,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,13988.3,0.8712,0.45703,0.00628,0.96487,0.93433,0.97333,0.80716,0.76928,0.47484,0.0076,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,14167.5,0.87259,0.45237,0.00629,0.95449,0.94447,0.97288,0.80798,0.76772,0.47562,0.00767,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,14346.6,0.86908,0.45715,0.00625,0.95595,0.94334,0.97258,0.80747,0.76929,0.47822,0.00768,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,14525.7,0.87198,0.45473,0.00626,0.96332,0.93846,0.97339,0.81038,0.76463,0.48257,0.0076,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,14704.9,0.86498,0.45156,0.00629,0.96192,0.94071,0.97371,0.80859,0.7634,0.48862,0.00755,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,14883.7,0.8605,0.45869,0.00624,0.96572,0.94087,0.9743,0.8098,0.76255,0.4986,0.00765,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,15062.4,0.86373,0.45479,0.00628,0.96274,0.93996,0.97331,0.80898,0.76479,0.49451,0.00765,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,15241.3,0.86847,0.45775,0.00626,0.9641,0.94034,0.97465,0.81003,0.76349,0.49551,0.00763,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,15420.5,0.86098,0.4517,0.00621,0.95646,0.94559,0.97504,0.80871,0.76637,0.47523,0.00765,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,15599.7,0.86438,0.45231,0.00623,0.96632,0.93671,0.97467,0.80928,0.76499,0.48171,0.00756,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,15778.7,0.86082,0.45304,0.00619,0.95786,0.94597,0.97404,0.80842,0.77023,0.48514,0.00768,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,15957.5,0.86001,0.45031,0.00619,0.96747,0.93756,0.97365,0.80864,0.76961,0.47147,0.00763,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,16136.2,0.8495,0.44813,0.0061,0.97145,0.9322,0.97366,0.80889,0.77072,0.47754,0.00763,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
