epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3407.81,0.9723,0.55636,0.00715,0.96616,0.9242,0.96786,0.77935,0.84028,0.54873,0.00848,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3512.78,0.96362,0.55007,0.00715,0.95065,0.92195,0.96748,0.78358,0.84172,0.50958,0.00858,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3617.72,0.96581,0.54317,0.00709,0.96882,0.9152,0.96726,0.77848,0.83991,0.51739,0.00842,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3722.87,0.95809,0.53304,0.00702,0.97195,0.91006,0.96859,0.78148,0.84302,0.52165,0.00875,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3827.92,0.96154,0.53384,0.00707,0.95893,0.91995,0.9681,0.78662,0.83793,0.50726,0.00836,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3932.87,0.9631,0.53871,0.00708,0.96102,0.93021,0.96822,0.78375,0.83688,0.52201,0.00857,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4037.89,0.94824,0.53276,0.00702,0.96727,0.92042,0.96993,0.79037,0.81944,0.49012,0.00828,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4142.87,0.94965,0.52838,0.00698,0.96718,0.92899,0.96678,0.79184,0.83133,0.49313,0.00832,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4247.8,0.94365,0.52156,0.00697,0.96618,0.91782,0.96896,0.78278,0.83786,0.49779,0.00843,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4352.59,0.93708,0.5122,0.00677,0.96991,0.91927,0.9678,0.79091,0.82092,0.50555,0.00826,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4457.58,0.93541,0.51994,0.00682,0.96257,0.92758,0.96896,0.79116,0.81278,0.49345,0.00831,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4562.56,0.93931,0.50909,0.00684,0.96225,0.92908,0.97221,0.78959,0.80996,0.50205,0.00821,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4667.59,0.92575,0.518,0.00681,0.95837,0.93246,0.97084,0.79511,0.79911,0.48435,0.00806,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4772.48,0.93001,0.51257,0.00678,0.96677,0.92786,0.97069,0.79504,0.80837,0.47242,0.00816,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4877.53,0.9252,0.50025,0.00679,0.96533,0.92495,0.96978,0.7934,0.79694,0.49337,0.00814,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4982.52,0.91459,0.50085,0.00668,0.96177,0.93246,0.97056,0.79666,0.78853,0.49089,0.00802,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5087.55,0.9135,0.50166,0.0067,0.95779,0.93669,0.97117,0.79648,0.78208,0.49283,0.00783,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5192.58,0.91488,0.50607,0.0067,0.95186,0.94218,0.97277,0.80044,0.78542,0.46811,0.00779,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5297.54,0.90971,0.49179,0.00665,0.9712,0.93651,0.97273,0.80189,0.77311,0.45592,0.00766,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5402.47,0.90083,0.48772,0.00663,0.97068,0.93846,0.97437,0.79904,0.78624,0.4584,0.0079,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5507.47,0.90701,0.49006,0.00659,0.96244,0.94409,0.97348,0.79986,0.77349,0.45353,0.00782,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5612.55,0.90531,0.49474,0.00656,0.963,0.93621,0.97197,0.79915,0.78493,0.45636,0.00783,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5717.41,0.89941,0.49028,0.00655,0.96354,0.9242,0.97237,0.80195,0.78695,0.45381,0.00782,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5822.5,0.90129,0.48797,0.00653,0.94714,0.93696,0.9721,0.80344,0.77001,0.49901,0.00777,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5927.08,0.90193,0.49907,0.00657,0.9502,0.93785,0.97311,0.80651,0.76335,0.48581,0.00763,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6031.51,0.90142,0.49268,0.00651,0.95624,0.93246,0.97131,0.79923,0.79115,0.50091,0.00787,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
