epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6819.09,0.97446,0.55599,0.00716,0.95341,0.91595,0.96736,0.77915,0.85412,0.51559,0.00849,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,7030.7,0.97344,0.55199,0.00722,0.96068,0.91686,0.96943,0.78109,0.8651,0.50878,0.00858,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7241.69,0.96789,0.54366,0.00711,0.96326,0.92495,0.96875,0.77211,0.87713,0.5276,0.00865,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7453.75,0.96043,0.53634,0.00705,0.9637,0.92008,0.96927,0.77774,0.87235,0.51205,0.00883,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7665.27,0.96048,0.53902,0.00705,0.96953,0.91923,0.97014,0.7792,0.86388,0.52965,0.00884,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7877.98,0.96135,0.54092,0.00707,0.96867,0.91649,0.96858,0.78145,0.83987,0.50676,0.00857,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,8088.39,0.95299,0.52761,0.00705,0.96815,0.92379,0.97146,0.78888,0.85373,0.48743,0.00859,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8300.22,0.94884,0.5321,0.00698,0.95275,0.93823,0.97016,0.78326,0.86359,0.50123,0.00858,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8507.98,0.94204,0.52581,0.00695,0.96002,0.92802,0.96883,0.78626,0.83751,0.51692,0.00832,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8713.62,0.93903,0.51821,0.00679,0.96226,0.92797,0.971,0.78323,0.85634,0.52093,0.00874,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8919.58,0.93751,0.52269,0.00681,0.96538,0.93058,0.9725,0.78963,0.83366,0.48737,0.00827,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,9126.13,0.93411,0.51475,0.0068,0.97071,0.93255,0.97486,0.79504,0.83519,0.43779,0.00831,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9331.93,0.93279,0.51453,0.00689,0.96772,0.93546,0.97472,0.78799,0.83331,0.49595,0.00826,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9537.78,0.93452,0.51246,0.0068,0.9628,0.92946,0.97236,0.79296,0.83087,0.49521,0.00823,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9743.13,0.9283,0.50542,0.00682,0.97241,0.93887,0.97486,0.80014,0.83801,0.42745,0.00849,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9951.51,0.91233,0.50202,0.00665,0.96919,0.93433,0.97535,0.80164,0.81291,0.45075,0.00819,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,10163.9,0.92094,0.49734,0.00673,0.95746,0.93959,0.9722,0.79577,0.82412,0.47892,0.0081,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10376.9,0.91812,0.50194,0.00673,0.95957,0.94399,0.97369,0.79718,0.82426,0.4644,0.00831,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10589.5,0.91566,0.49509,0.00667,0.96281,0.94221,0.97474,0.80072,0.81368,0.45345,0.00833,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10801.7,0.90192,0.48504,0.0066,0.95976,0.94109,0.97475,0.80436,0.79826,0.44694,0.00797,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,11013.8,0.90641,0.49563,0.0066,0.96362,0.94416,0.97538,0.80226,0.80256,0.4797,0.00789,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,11225.2,0.90485,0.49217,0.00653,0.97244,0.93321,0.97459,0.8043,0.79106,0.46389,0.00773,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11437.4,0.90475,0.49202,0.00662,0.95845,0.93996,0.97388,0.80101,0.79215,0.45282,0.00786,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11649.5,0.90049,0.48566,0.00652,0.95777,0.93612,0.97329,0.79957,0.78789,0.45967,0.00786,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11861,0.90283,0.48678,0.00658,0.96536,0.94106,0.97354,0.79683,0.79106,0.47823,0.00793,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,12072.3,0.90367,0.48835,0.00652,0.95746,0.94409,0.97334,0.79649,0.79599,0.46008,0.00794,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,12284.5,0.89977,0.48464,0.00652,0.95946,0.94259,0.97246,0.79901,0.79929,0.47425,0.00796,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,12496.7,0.89471,0.48341,0.00644,0.95856,0.94599,0.97296,0.8002,0.79433,0.45056,0.00794,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12708.4,0.89287,0.47671,0.00648,0.9611,0.94568,0.97395,0.80104,0.78466,0.45648,0.00778,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12920.1,0.89599,0.4802,0.00648,0.96291,0.94486,0.97304,0.80383,0.78635,0.45701,0.00775,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,13131.9,0.88666,0.46357,0.00642,0.97509,0.93546,0.97571,0.80015,0.78104,0.45038,0.00775,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,13343.9,0.88514,0.47066,0.00636,0.97246,0.9407,0.9745,0.80067,0.78997,0.47336,0.00781,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,13556.4,0.88296,0.47288,0.0064,0.96768,0.9437,0.97302,0.80426,0.78499,0.48305,0.00789,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13768,0.88061,0.48131,0.0064,0.96868,0.93771,0.97249,0.79912,0.79413,0.49054,0.00784,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13979.6,0.87905,0.46986,0.00637,0.96583,0.93921,0.97286,0.80309,0.7919,0.44136,0.00795,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,14191.8,0.88594,0.4693,0.00644,0.9713,0.9397,0.97379,0.80676,0.78242,0.44595,0.00769,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,14403.9,0.87981,0.46868,0.00633,0.96622,0.94334,0.97428,0.80592,0.78236,0.42894,0.00764,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14614.5,0.87288,0.46102,0.00626,0.96933,0.93698,0.97565,0.80729,0.77735,0.42456,0.00761,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14826,0.87069,0.46015,0.00629,0.97246,0.93884,0.97496,0.80953,0.77585,0.43072,0.00761,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,15037.6,0.87615,0.45928,0.00638,0.97589,0.93246,0.97459,0.81193,0.77153,0.42486,0.00756,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,15249.2,0.86589,0.45535,0.00623,0.97749,0.92899,0.97561,0.8134,0.7702,0.43789,0.00758,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,15460.9,0.86755,0.45487,0.00625,0.96686,0.94109,0.97532,0.81255,0.76865,0.42274,0.00759,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,15672.5,0.8653,0.45534,0.00631,0.96794,0.94039,0.97566,0.81241,0.76692,0.42653,0.00757,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15884.1,0.85941,0.45231,0.00623,0.96659,0.94456,0.97582,0.81353,0.76894,0.419,0.00759,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
